Id,WnvPresent
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.001681818181818182
8,0.0
9,0.001
10,0.001
11,0.001
12,0.001
13,0.001
14,0.001
15,0.002
16,0.001
17,0.0035
18,0.0035
19,0.0035
20,0.0035
21,0.0035
22,0.0035
23,0.0036818181818181815
24,0.0035
25,0.002
26,0.002
27,0.002
28,0.002
29,0.002
30,0.002
31,0.0021818181818181815
32,0.002
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.0021818181818181815
40,0.001
41,0.001
42,0.001
43,0.001
44,0.001
45,0.001
46,0.001
47,0.001
48,0.001
49,0.001
50,0.001
51,0.001
52,0.001
53,0.001
54,0.001
55,0.001
56,0.001
57,0.000625
58,0.000625
59,0.000625
60,0.000625
61,0.000625
62,0.000625
63,0.0008068181818181819
64,0.000625
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0055
74,0.0055
75,0.0055
76,0.0055
77,0.0055
78,0.0055
79,0.005881818181818182
80,0.0055
81,0.001
82,0.001
83,0.001
84,0.001
85,0.001
86,0.001
87,0.001
88,0.001
89,0.00775
90,0.00775
91,0.00775
92,0.00775
93,0.00775
94,0.00775
95,0.008131818181818183
96,0.00775
97,0.002
98,0.002
99,0.002
100,0.002
101,0.002
102,0.002
103,0.0021818181818181815
104,0.002
105,0.000625
106,0.000625
107,0.000625
108,0.000625
109,0.000625
110,0.000625
111,0.0008068181818181819
112,0.000625
113,0.000625
114,0.000625
115,0.000625
116,0.000625
117,0.000625
118,0.000625
119,0.0008068181818181819
120,0.000625
121,0.002625
122,0.002625
123,0.002625
124,0.002625
125,0.002625
126,0.002625
127,0.0028068181818181816
128,0.002625
129,0.0001111111111111111
130,0.0001111111111111111
131,0.0001111111111111111
132,0.0001111111111111111
133,0.0001111111111111111
134,0.0001111111111111111
135,0.0011111111111111111
136,0.0001111111111111111
137,0.005458333333333333
138,0.005458333333333333
139,0.005458333333333333
140,0.005458333333333333
141,0.005458333333333333
142,0.005458333333333333
143,0.006640151515151515
144,0.005458333333333333
145,0.002
146,0.002
147,0.002
148,0.002
149,0.002
150,0.002
151,0.0021818181818181815
152,0.002
153,0.002125
154,0.002125
155,0.002125
156,0.002125
157,0.002125
158,0.002125
159,0.0023068181818181816
160,0.002125
161,0.002625
162,0.002625
163,0.002625
164,0.002625
165,0.002625
166,0.002625
167,0.0028068181818181816
168,0.002625
169,0.001
170,0.001
171,0.001
172,0.001
173,0.001
174,0.001
175,0.002
176,0.001
177,0.001
178,0.001
179,0.001
180,0.001
181,0.001
182,0.001
183,0.0021818181818181815
184,0.001
185,0.000625
186,0.000625
187,0.000625
188,0.000625
189,0.000625
190,0.000625
191,0.0018068181818181818
192,0.000625
193,0.001625
194,0.001625
195,0.001625
196,0.001625
197,0.001625
198,0.001625
199,0.0038068181818181816
200,0.001625
201,0.0011111111111111111
